date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:04	669/669	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Nov%202023%2004:25:26%20GMT	https://ukhtiycollagen.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:04	245519/245519	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2018%20Feb%202025%2015:24:04%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/ujank/Music/TEMPLATE%20WEB/connect.facebook.net/en_US/fbevents.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:05	11930/11930	---M--	200	added ('OK')	image/gif	date:Thu,%2025%20Jan%202024%2002:52:24%20GMT	https://ukhtiycollagen.com/wp-content/uploads/2024/01/TERJUAL-1-1.gif	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-content/uploads/2024/01/TERJUAL-1-1.gif	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:06	84533/84533	---M-Z	200	added ('OK')	text/html	date:Tue,%2018%20Feb%202025%2015:24:05%20GMT	https://ukhtiycollagen.com/ukhtiy-collagen-ev/	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/ukhtiy-collagen-ev/index.html	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:07	46645/46645	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2015:24:06%20GMT	https://ukhtiycollagen.com/ukhtiy-collagen-ev/POST	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/ukhtiy-collagen-ev/POST	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:07	214603/214603	---MCZ	200	added ('OK')	application/javascript	etag:W/%22eabd0f34270bef5f5d851ae563c1e4be%22	https://cdn.orderonline.id/js/embed-v2-slim.min.js?v=8.0.4	C:/Users/ujank/Music/TEMPLATE%20WEB/cdn.orderonline.id/js/embed-v2-slim.min0987.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:07	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a09e13ee94d51c524b7e2a728c7d4039%22	https://cdn.orderonline.id/js/vendor/jquery.min.js	C:/Users/ujank/Music/TEMPLATE%20WEB/cdn.orderonline.id/js/vendor/jquery.min.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:08	4997/4997	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Nov%202023%2004:25:24%20GMT	https://ukhtiycollagen.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.17.3	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-content/plugins/elementor/assets/js/webpack.runtime.min8864.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:08	87553/87553	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Aug%202023%2015:44:24%20GMT	https://ukhtiycollagen.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:08	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2004:19:24%20GMT	https://ukhtiycollagen.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:09	60151/60151	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Nov%202023%2004:25:22%20GMT	https://ukhtiycollagen.com/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.17.3	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-content/plugins/elementor/assets/js/frontend-modules.min8864.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:09	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Nov%202023%2004:25:28%20GMT	https://ukhtiycollagen.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:10	21464/21464	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2016%20Jul%202024%2020:50:56%20GMT	https://ukhtiycollagen.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-includes/js/jquery/ui/core.minb37e.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:10	40436/40436	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2016%20Nov%202023%2004:25:22%20GMT	https://ukhtiycollagen.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.17.3	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-content/plugins/elementor/assets/js/frontend.min8864.js	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/?utm_source=ADV+Chandra&utm_medium=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Kampanye&utm_campaign=Chand-ukhtiy-+Advantage++03%2F10%2F2024+Set+Iklan&utm_content=Facebook_Mobile_Reels&fbclid=IwZXh0bgNhZW0BMABhZGlkAasXNh3j724BHVCGrgVb8esH6i6oTJCR7L04n0QhVObvDGJYUZfCB860DjOpBwgMtBgK5w_aem_h6S3Bqx282EtoQElYyu0hA&utm_id=120215335274080174&utm_term=120215335274090174&sfnsn=wiwspwa)
22:24:13	243993/243993	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202024%2012:02:10%20GMT	https://ukhtiycollagen.com/wp-content/uploads/al_opt_content/CSS/ukhtiycollagen.com/9ad4a056a448a80277608723a58d8e2c_al_style.css	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/wp-content/uploads/al_opt_content/CSS/ukhtiycollagen.com/9ad4a056a448a80277608723a58d8e2c_al_style.css	(from https://ukhtiycollagen.com/ukhtiy-collagen-ev/)
22:24:14	46645/46645	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2015:24:14%20GMT	https://ukhtiycollagen.com/ukhtiy-collagen-ev/a	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/ukhtiy-collagen-ev/a	(from https://connect.facebook.net/en_US/fbevents.js)
22:24:15	46645/46645	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2015:24:15%20GMT	https://ukhtiycollagen.com/ukhtiy-collagen-ev/b.resolvedLink	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/ukhtiy-collagen-ev/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
22:24:16	46645/46645	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2015:24:16%20GMT	https://ukhtiycollagen.com/ukhtiy-collagen-ev/schema.org/	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/ukhtiy-collagen-ev/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
22:24:16	46645/46645	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2015:24:16%20GMT	https://ukhtiycollagen.com/signals/iwl.js	C:/Users/ujank/Music/TEMPLATE%20WEB/ukhtiycollagen.com/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
